place;COMMUNE;prix;date_end;date_start;Etoiles
92 chemin Olive;;SANARY-SUR-MER;299;07/11/2021;02/11/2021;5
22 RUE SAINT-PLACIDE;;PARIS;265;23/12/2024;16/12/2024;5
110 rue Vendome;;LYON 6E ARRONDISSEMENT;193;14/08/2021;05/08/2021;5
1 route de la Corniche;;GOUMOIS;61;20/10/2021;15/10/2021;5
Place Olympique;;BOURG-SAINT-MAURICE;136;13/02/2022;08/02/2022;3
1 rue Marcel Morin;;THOUARS;71;05/10/2023;29/09/2023;4
77 rue des Navigateurs;;SAINT-PAUL;70;16/07/2023;11/07/2023;1
Place de saint-clair;;LE LAVANDOU;293;18/08/2022;11/08/2022;1
1 rue Auguste Choisy;;VITRY-LE-FRANÇOIS;111;22/03/2022;17/03/2022;5
2 place de la Gare;;STRASBOURG;80;26/12/2021;21/12/2021;3
rue de la Boucle;;VAL THORENS;241;10/04/2024;04/04/2024;4
4/6 rue Taylor;;PARIS 10E ARRONDISSEMENT;63;24/04/2023;18/04/2023;2
122 avenue de la Vallée des Baux;;MAUSSANE-LES-ALPILLES;118;27/05/2022;17/05/2022;4
1 avenue de la Vigne;;AGDE;113;07/06/2022;30/05/2022;1
Flaine Forum;;ARÂCHES-LA-FRASSE;66;06/02/2023;01/02/2023;2
5 avenue Charles de Freycinet;;CAHORS;67;27/07/2022;21/07/2022;3
21 place Marcadaou;;ESQUIÈZE-SÈRE;236;21/09/2022;12/09/2022;4
8 boulevard des talards;;SAINT-MALO;80;13/01/2023;04/01/2023;3
10 place de la gare;;GRENOBLE;167;07/12/2022;29/11/2022;2
3 ALLÉE DU COMMANDANT CHARCOT;;NANTES;123;11/12/2023;05/12/2023;1
1 rue Pierre et Marie Curie;;AURAY;222;29/05/2024;23/05/2024;2
138 avenue de la Gare;;MOÛTIERS;153;03/07/2022;24/06/2022;4
31 avenue Denfert Rochereau;;SAINT-ÉTIENNE;120;09/03/2023;03/03/2023;3
19 boulevard Diderot;;PARIS 12E ARRONDISSEMENT;227;09/11/2021;02/11/2021;3
150 Avenue de Genève;;SAINT-GERVAIS-LES-BAINS;185;23/03/2022;14/03/2022;5
59 boulevard du Montparnasse;;PARIS;273;07/12/2022;28/11/2022;4
197 boulevard Brune;;PARIS;225;16/01/2020;06/01/2020;5
2 Ter Villa Aubert;;ASNIÈRES-SUR-SEINE;272;27/12/2022;19/12/2022;1
1 place des Marseillaises;;MARSEILLE 1ER ARRONDISSEMENT;172;27/12/2021;21/12/2021;5
7 place Jean Jaurès;;TARASCON-SUR-ARIÈGE;205;21/07/2024;15/07/2024;1
513  route des Frasses;;LA CHAPELLE-D'ABONDANCE;294;06/02/2023;31/01/2023;3
64 chemin des petits rougiers;;LE PONTET;289;07/10/2023;29/09/2023;1
22 Bis rue de terre neuve;;PARIS 20E ARRONDISSEMENT;221;02/11/2022;24/10/2022;1
84 Route de Maussane;;MOURIÈS;230;09/02/2023;02/02/2023;2
74 chemin de la Plage;;TIGNES;250;14/02/2022;07/02/2022;3
CD 81;;SAINT-FLORENT;111;03/08/2024;25/07/2024;3
1, Rue du pont Turgot;;UZERCHE;69;29/10/2023;19/10/2023;3
rue Jacques-Yves Cousteau;;SAINTES-MARIES-DE-LA-MER;299;10/12/2022;01/12/2022;2
AVENUE D'ANTIOCHE;;ARS-EN-RÉ;236;22/01/2025;14/01/2025;5
strutta;;SAINT-FLORENT;84;21/08/2020;13/08/2020;4
Boulevard de la Cahotte;;TROUVILLE-SUR-MER;181;13/10/2021;07/10/2021;5
770 chemin des moyennes bréguières;;ANTIBES;268;17/12/2023;11/12/2023;4
9 avenue du Parc;;ARCACHON;152;27/01/2022;18/01/2022;2
25 boulevard Louis Lumière;;BANDOL;107;20/01/2022;14/01/2022;1
44 avenue Charles De Gaulle;;CABOURG;108;11/02/2023;02/02/2023;1
Avenue du Commandant Kieffer;;OUISTREHAM;291;20/01/2022;14/01/2022;1
227 Route des Marines;;LE GRAU-DU-ROI;177;13/03/2022;08/03/2022;3
6 allée des Rochers;;ROYAN;105;29/03/2021;23/03/2021;4
Place Maurice Ravel;;SAINT-JEAN-DE-LUZ;277;01/01/2023;23/12/2022;4
15 RUE MAURICE GIGNOUX;;GRENOBLE;152;25/12/2024;19/12/2024;2
21 RUE HAXO;;MARSEILLE 1ER ARRONDISSEMENT;284;05/11/2024;28/10/2024;2
980 AVENUE JEAN MERMOZ;;MONTPELLIER;244;03/12/2024;28/11/2024;5
30-32 rue du Sentier;;PARIS 2E ARRONDISSEMENT;141;12/07/2024;04/07/2024;5
81 rue d'Anse;;VILLEFRANCHE-SUR-SAÔNE;109;29/08/2022;22/08/2022;3
4 rue de la Savonnerie;;ROUEN;76;08/07/2022;28/06/2022;3
91 avenue du Président John Fitzgerald Kennedy;;MÉRIGNAC;133;24/04/2022;15/04/2022;1
51 rue de Daugère;;BRUGES;162;26/03/2022;16/03/2022;2
2 place du Général Leclerc;;BOURGES;141;03/04/2022;25/03/2022;3
11 place du 77ème Régiment d'Infanterie;;CHOLET;137;15/01/2021;08/01/2021;4
5 rue des Amazones;;ROYAN;274;22/04/2022;15/04/2022;3
Lieu-dit le Couloumié;;FOIX;165;20/03/2023;10/03/2023;5
Allée de Neyrac;;ANDELAT;161;21/11/2022;14/11/2022;3
33 avenue de verdun;;BERCK;136;25/03/2023;20/03/2023;3
42 rue de Frédéric Bastiat;;LIMOGES;152;16/03/2024;07/03/2024;3
Aire du Larzac;;L'HOSPITALET-DU-LARZAC;111;29/04/2023;24/04/2023;4
6 rue de l'Hôtellerie;;CARQUEFOU;149;25/11/2022;15/11/2022;1
32-33 quai Mayaud;;SAUMUR;120;02/04/2022;24/03/2022;3
41 boulevard Vauban;;AUXERRE;97;17/06/2022;08/06/2022;3
Aérodrome de Gap-Tallard, champ eymi;;TALLARD;285;17/12/2022;12/12/2022;5
1851 route de Bourg;;MALAFRETAZ;112;30/12/2022;22/12/2022;3
113 rue de l'Aérodrome;;NIORT;121;13/04/2023;06/04/2023;1
Zone d'Activité les Communaux;;ANDRÉZIEUX-BOUTHÉON;183;17/03/2022;07/03/2022;3
19 avenue Alphonse Baudin;;BOURG-EN-BRESSE;194;29/03/2022;23/03/2022;5
13 boulevard de Russie;;VICHY;235;11/11/2022;04/11/2022;4
Rue Louis Lormand;;LA VERRIÈRE;179;05/11/2023;26/10/2023;4
9 rue Cantepau;;ALBI;119;19/08/2022;11/08/2022;5
Rue Lucien Chaserant;;SAINT-SATURNIN;97;11/09/2022;06/09/2022;2
22 rue de la Tuilerie;;SAINT-AVERTIN;156;18/03/2022;08/03/2022;5
20 rue Paul Pousset;;LES PONTS-DE-CÉ;289;08/04/2022;29/03/2022;2
Parc d’activité des Longeray;;METZ-TESSY;175;29/12/2022;23/12/2022;1
3 Venelle de Rochigou;;ROSCOFF;101;04/12/2023;27/11/2023;3
7 avenue Paul Langevin;;VILLENEUVE-D'ASCQ;204;27/03/2022;21/03/2022;4
4 espace Bocapole;;BRESSUIRE;77;18/03/2022;10/03/2022;5
120 rue Francis Thomas;;BREST;109;19/11/2021;09/11/2021;4
110 Yves de Kerguelen;;CARCASSONNE;248;25/11/2022;15/11/2022;1
8 avenue lavoisiere;;AUBIÈRE;235;18/11/2022;10/11/2022;4
12 rue du 8 Mai 1945;;BESSINES-SUR-GARTEMPE;203;13/09/2024;04/09/2024;4
41 rue du Général de Gaulle;;PONTIVY;298;01/06/2021;26/05/2021;3
3 rue des Châtaigniers;;MÉRIGNAC;238;29/01/2022;19/01/2022;4
36 rue du Maréchal Joffre;;NANTES;147;16/06/2022;07/06/2022;4
25 avenue Jean jaurès;;DÉCINES-CHARPIEU;176;12/12/2023;05/12/2023;1
22 rue Antoine Albalat;;BRIGNOLES;90;31/03/2022;22/03/2022;5
rue de Dieppe;;EU;214;25/04/2024;15/04/2024;1
3 place du Général Leclerc;;BOURGES;283;31/03/2022;25/03/2022;3
Allée Jean Monnet;;BEAUPRÉAU;298;15/05/2022;06/05/2022;4
ZAC des prés;;ANDELNANS;295;26/11/2024;21/11/2024;3
9 avenue du Quatourze;;NARBONNE;117;26/03/2022;21/03/2022;2
181 rue Gutenberg;;SAMAZAN;182;20/07/2022;11/07/2022;3
8 avenue de Ponteix;;FEYTIAT;183;13/07/2022;04/07/2022;1
164 rue de la Bresse;;CHAINTRÉ;222;15/12/2022;06/12/2022;1
2 avenue de Madrid;;VITROLLES;256;10/02/2022;02/02/2022;2
8 rue de l'Hôtellerie;;CARQUEFOU;296;05/08/2022;27/07/2022;4
31 rue jules verne;;ORVAULT;110;17/12/2023;11/12/2023;1
5 rue du chemin de fer;;NEVERS;290;16/12/2023;11/12/2023;2
205 rue Tony Garnier;;NÎMES;81;27/03/2022;18/03/2022;1
Avenue Maréchal Montgomery;;CAEN;298;28/03/2022;22/03/2022;2
2 boulevard Solférino;;POITIERS;182;15/03/2022;09/03/2022;1
131 route d'Annecy;;SAINT-BLAISE;77;09/02/2022;01/02/2022;3
55 route de Paris;;MABLY;110;29/10/2022;24/10/2022;2
50 route de Bischviller;;SCHILTIGHEIM;183;24/02/2022;14/02/2022;5
39 avenue du Maréchal Juin;;SAINT-LAURENT-DU-VAR;181;29/01/2022;19/01/2022;4
7 RUE DE L'ATLANTIQUE;;CROZON;242;02/08/2023;26/07/2023;2
2 mail de la Papoterie;;CHAMBRAY-LÈS-TOURS;264;26/03/2022;17/03/2022;2
443 rue de la Découverte;;LABÈGE;97;22/05/2022;17/05/2022;2
190 impasse du Basile;;CASTETS;253;26/06/2022;21/06/2022;4
173 avenue de Pontaillac;;ROYAN;250;08/12/2021;30/11/2021;3
1 Petit Chemin de Sausheim;;RIXHEIM;75;24/03/2022;16/03/2022;1
1 rue des carrières;;CASTRIES;235;12/08/2022;05/08/2022;4
Le Domaine de Mestré;;FONTEVRAUD-L'ABBAYE;237;04/10/2024;24/09/2024;1
1641 avenue du Mesnil Grémichon;;SAINT-MARTIN-DU-VIVIER;257;27/03/2022;18/03/2022;5
1 Route de Champame;;LES DEUX ALPES;273;18/08/2023;10/08/2023;2
3 rue de Castiglione;;PARIS 1ER ARRONDISSEMENT;66;23/01/2022;14/01/2022;5
Route des thermes;;DIGNE-LES-BAINS;95;31/10/2019;22/10/2019;1
3/5 cours du Maréchal Joffre;;DAX;99;26/01/2022;19/01/2022;1
79 rue Saint Dominique;;PARIS 7E ARRONDISSEMENT;299;05/03/2022;24/02/2022;2
5/7 RUE THéRèSE;;PARIS 1ER ARRONDISSEMENT;211;04/11/2022;28/10/2022;4
14 allée de Mezo Guen;;TRÉBEURDEN;65;01/08/2024;23/07/2024;1
6 boulevard de l'Esquillon;;THÉOULE-SUR-MER;210;19/10/2021;14/10/2021;5
Lieu-dit le Bec Rouge;;TIGNES;105;24/07/2021;19/07/2021;1
48 avenue de Flandre;;PARIS 19E ARRONDISSEMENT;111;04/12/2022;29/11/2022;3
23 rue Brey;;PARIS 17E ARRONDISSEMENT;177;18/03/2023;08/03/2023;1
Route de Poutran;;OZ;276;15/08/2021;10/08/2021;4
57 boulevard kelsch;;GERARDMER;283;16/12/2024;09/12/2024;4
21 ROUTE DE CHAVANNES;;SIMANDRE-SUR-SURAN;159;05/10/2022;28/09/2022;2
122 rue de Tolbiac;;PARIS;209;25/04/2024;17/04/2024;5
27 avenue de Flore;;ISTRES;68;16/05/2021;10/05/2021;3
70 cours gambetta;;CAVAILLON;203;09/10/2022;03/10/2022;2
155 Avenue de Malakoff;;PARIS 16E ARRONDISSEMENT;153;02/08/2022;26/07/2022;4
73 RUE TAITBOUT;;PARIS 9E ARRONDISSEMENT;151;16/09/2020;09/09/2020;3
21 rue Buffault;;PARIS 9E ARRONDISSEMENT;247;30/03/2022;22/03/2022;3
66 avenue de La Motte Picquet;;PARIS 15E ARRONDISSEMENT;89;26/01/2023;19/01/2023;5
25 AVENUE DU GÉNÉRAL LECLERC;;MARSEILLE;212;07/08/2023;31/07/2023;5
155 avenue du Maine;;PARIS 14E ARRONDISSEMENT;148;27/07/2022;22/07/2022;2
9 rue Desbrest;;VICHY;68;28/03/2022;23/03/2022;4
52 boulevard Diderot;;PARIS 12E ARRONDISSEMENT;293;30/04/2023;21/04/2023;1
1 bis rue de Vaugirard;;PARIS;82;09/11/2024;31/10/2024;2
2 Rue des trois Couronnes;;CARCASSONNE;288;05/03/2022;24/02/2022;5
8 rue des Margnolles;;CALUIRE-ET-CUIRE;66;23/12/2023;18/12/2023;5
176 rue Cardinet;;PARIS;79;25/03/2021;15/03/2021;2
105 Boulevard Jean Jaures;;CLICHY;205;08/08/2024;01/08/2024;1
11 RUE DE L'ABREUVOIR;;COURBEVOIE;204;01/08/2022;27/07/2022;3
quartier Amotz;;SAINT-PÉE-SUR-NIVELLE;146;30/07/2023;24/07/2023;1
21 rue jean bart;;COLLIOURE;128;30/06/2023;21/06/2023;2
7 rue de Belgique;;NICE;97;24/12/2023;18/12/2023;3
9 chemin des Caves;;AZAY-LE-RIDEAU;156;02/04/2022;23/03/2022;1
189 rue de la Crimée;;PARIS 19E ARRONDISSEMENT;231;01/07/2021;25/06/2021;4
1040 AVENUE OLYMPIQUE;;VAL-D'ISÈRE;128;13/04/2024;08/04/2024;5
2 place Louis Gaume;;PYLA SUR MER;245;30/09/2024;24/09/2024;5
31 avenue Leconte de Lisle;;SAINT-DENIS;102;15/05/2021;06/05/2021;2
16 avenue du Général Galliéni;;JOINVILLE-LE-PONT;63;08/03/2022;01/03/2022;1
Chemin Tumulus;;CARNAC;81;16/06/2022;07/06/2022;4
8 hameau de la meije;;LES DEUX ALPES;69;23/12/2022;15/12/2022;2
10 Route de Bâle;;COLMAR;221;11/12/2023;04/12/2023;2
6 rue de Turenne;;PARIS 4E ARRONDISSEMENT;128;20/12/2022;15/12/2022;1
44 avenue de la Marne;;BIARRITZ;75;16/03/2022;08/03/2022;4
25 avenue de la Grande Dune;;LA BAULE-ESCOUBLAC;190;22/02/2021;16/02/2021;1
3 rue Saint-Jean;;DOUARNENEZ;185;15/07/2021;05/07/2021;2
62 rue Garibaldi;;LYON 6E ARRONDISSEMENT;243;30/09/2022;22/09/2022;4
Place de l'église;;VIVARIO;238;28/07/2024;23/07/2024;3
Route de Canetto,Domaine De Pozzoniello;;BONIFACIO;243;13/12/2022;05/12/2022;1
Vizzavona;;VIVARIO (VIZZAVONA);91;19/11/2024;14/11/2024;4
Lieu-Dit la Croix;;VENACO;165;24/09/2022;16/09/2022;3
Quartier Umbriccia;;SOCCIA;123;02/11/2022;25/10/2022;2
Venaco;;VENACO;106;22/11/2024;14/11/2024;1
413 boulevard Marie Jeanne Bozzi;;PORTICCIO;123;13/08/2023;03/08/2023;4
Route Départementale 80;;MACINAGGIO;248;17/12/2024;09/12/2024;3
Lieu-dit Parocchia;;ROGLIANO;186;08/08/2023;03/08/2023;1
2878 route de l'étale;;LA CLUSAZ;219;15/02/2023;08/02/2023;4
3 boulevard de la mer;;HENDAYE;144;27/03/2020;18/03/2020;2
7270 route du Luc;;LA GARDE-FREINET;103;14/05/2022;06/05/2022;4
338 avenue de Saint-Maur;;MONTPELLIER;134;20/11/2022;14/11/2022;2
3 rue Bailly;;PARIS;212;09/08/2024;01/08/2024;1
67 bis rue des chalets;;TOULOUSE;154;22/08/2020;12/08/2020;2
2 rue de la Liberté;;NICE;265;19/11/2021;10/11/2021;1
1 Rue Sthrau;;PARIS;151;25/09/2023;20/09/2023;1
460 Avenue de la Quiera, ZI de l'argile;;MOUANS-SARTOUX;115;17/07/2023;10/07/2023;2
37 Route Du Bas Cambo;;CAMBO-LES-BAINS;218;02/11/2022;27/10/2022;4
2 bis rue de l'Emeraude;;UZÈS;146;21/10/2021;14/10/2021;5
7 rue ignace spies;;SÉLESTAT;73;04/11/2022;26/10/2022;3
22 rue de la comtesse;;SAINT-GERVAIS-LES-BAINS;89;28/07/2022;21/07/2022;4
50-52 Rue Nationale;;AZAY-LE-RIDEAU;238;22/12/2022;15/12/2022;2
33 boulevard Heurteloup;;TOURS;288;27/12/2023;19/12/2023;1
La Preste les Bains;;PRATS-DE-MOLLO-LA-PRESTE;214;24/11/2022;14/11/2022;5
48 avenue de la marne;;BIARRITZ;159;23/10/2023;16/10/2023;2
7 quai des fours;;GIVET;218;24/11/2022;16/11/2022;5
16 Avenue des Pays de Monts;;SAINT-JEAN-DE-MONTS;175;20/04/2023;13/04/2023;1
29 boulevard de la Mer;;HENDAYE;173;06/04/2022;30/03/2022;3
6 rue des Tilleuls;;MONTÉLIER;232;02/03/2022;22/02/2022;5
1 CHEMIN DE CHALIN;;ÉCULLY;111;01/08/2022;27/07/2022;3
Rue de l'Église;;MONTGENÈVRE;106;05/04/2022;29/03/2022;1
1 avenue Jean Moulin;;SAINT-RÉMY-DE-PROVENCE;96;20/06/2021;14/06/2021;4
86 rue Vaneau;;PARIS 7E ARRONDISSEMENT;239;07/01/2023;02/01/2023;5
4 cours du Médoc;;BORDEAUX;232;06/12/2021;26/11/2021;5
140 rue vatel;;NÎMES;159;15/11/2022;09/11/2022;1
17 avenue Georges Clémenceau;;BREST;251;15/12/2022;08/12/2022;5
13 Avenue du Général de Gaulle;;BRIANÇON;132;21/12/2022;12/12/2022;5
9 quai Vauban;;BESANÇON;215;05/03/2024;29/02/2024;5
1 RUE DES REMPARTS;;LE PALAIS;254;17/06/2024;11/06/2024;2
4 rue du Magasin;;BELFORT;283;30/11/2019;25/11/2019;4
4 bis rue Michel Breton;;LA CHAPELLE-ACHARD;213;10/01/2023;05/01/2023;4
26 rue Pastorelli;;NICE;83;13/07/2022;05/07/2022;1
24 rue Roger Salengro;;TOURS;160;02/02/2022;28/01/2022;2
10 cours des Minimes;;AIX-EN-PROVENCE;162;04/12/2023;24/11/2023;3
9 Place de la Gare;;STRASBOURG;108;04/10/2024;24/09/2024;2
11 bis rue de l'arcade;;PARIS;75;23/04/2024;18/04/2024;2
8 rue d'Arras;;PARIS 5E ARRONDISSEMENT;64;25/06/2021;18/06/2021;3
20 rue Corniche de Neuburg;;SÈTE;292;01/10/2022;23/09/2022;4
La pointe Saint-Mathieu;;PLOUGONVELIN;233;01/08/2021;23/07/2021;5
3 avenue Gambetta;;FÉCAMP;139;26/12/2021;20/12/2021;2
4 rue de Caligny;;LE HAVRE;299;05/02/2022;26/01/2022;1
3 rue des Prés;;VERGNÉ;190;29/10/2021;20/10/2021;2
97 RUE SAINT-MAUR;;PARIS;164;31/10/2023;23/10/2023;1
51 rue Bobillot;;PARIS 13E ARRONDISSEMENT;230;03/05/2023;24/04/2023;2
58 BOULEVARD D ALSACE;;CANNES;172;15/10/2023;06/10/2023;3
25 rue Vernet;;PARIS 8E ARRONDISSEMENT;98;16/11/2019;07/11/2019;5
8 rue de Verneuil;;PARIS 7E ARRONDISSEMENT;111;17/01/2023;11/01/2023;3
18 RUE BENJAMIN FRANKLIN;;VERSAILLES;295;31/01/2024;23/01/2024;5
Lieu-dit Brancuccio;;BONIFACIO;205;04/07/2022;24/06/2022;5
Lieu-dit Canetto-Pertuso;;BONIFACIO;62;06/07/2024;26/06/2024;5
Route du Mont Saint-Michel;;LE MONT-SAINT-MICHEL;68;14/04/2022;04/04/2022;4
964 route des Gaillands;;CHAMONIX-MONT-BLANC;239;20/07/2022;12/07/2022;2
3 rue Devosge;;DIJON;245;02/04/2022;25/03/2022;3
12 boulevard de l'île Vertime;;LES SABLES-D'OLONNE;155;22/10/2024;15/10/2024;4
5 rue Riboutté;;PARIS 9E ARRONDISSEMENT;278;31/07/2021;22/07/2021;2
3 Chemin des Founottes;;BESANÇON;61;07/10/2020;02/10/2020;3
12, rue Marbeuf;;PARIS 8E ARRONDISSEMENT;225;26/06/2024;20/06/2024;5
10 RUE MARBEUF;;PARIS 8E ARRONDISSEMENT;189;30/06/2024;20/06/2024;2
75 rue de la Grotte;;LOURDES;108;03/05/2022;28/04/2022;4
Route de Saint Guérin;;BEAUFORT;163;08/04/2022;29/03/2022;5
1 rue parrot;;PARIS 12E ARRONDISSEMENT;177;27/07/2022;22/07/2022;4
92 boulevard Garibaldi;;PARIS 15E ARRONDISSEMENT;147;07/02/2022;01/02/2022;4
9 rue Grégoire de Tours;;PARIS 6E ARRONDISSEMENT;228;19/12/2021;13/12/2021;1
56 rue montorgueil;;PARIS;145;24/07/2024;15/07/2024;1
Rue du lac;;CABRIÈS;211;09/11/2022;04/11/2022;3
26 Boulevard de Strasbourg;;TOULOUSE;111;20/07/2023;11/07/2023;4
2 rue de l'Oratoire;;AMIENS;184;22/02/2024;16/02/2024;1
166 AVENUE VICTOR HUGO;;CLAMART;120;24/04/2024;19/04/2024;2
23 Rue des Fleurs;;DIJON;233;27/04/2024;22/04/2024;3
59 Boulevard Victor Hugo;;NICE;190;23/04/2024;18/04/2024;5
19 rue Copernic;;PARIS;196;03/04/2022;24/03/2022;4
32 bis rue Victor Massé;;PARIS;176;26/03/2020;20/03/2020;4
2 bis Cité Bergère;;PARIS;128;17/09/2023;12/09/2023;2
122 rue d'Antibes;;CANNES;150;28/03/2022;22/03/2022;4
7 Promenade du Cap;;ROQUEBRUNE-CAP-MARTIN;242;20/12/2021;14/12/2021;3
112/122 rue de France;;FONTAINEBLEAU;165;31/03/2022;24/03/2022;5
7/9 rue du Maire Kuss;;STRASBOURG;217;20/07/2022;11/07/2022;2
3 Rue Delandine;;LYON 2E ARRONDISSEMENT;118;04/05/2023;24/04/2023;5
52-54 avenue lazare carnot;;DRAGUIGNAN;236;27/03/2023;22/03/2023;3
13 avenue du Général leclerc;;CHÂTELAILLON-PLAGE;133;09/07/2020;29/06/2020;5
47 RUE BOBILLOT;;PARIS 13E ARRONDISSEMENT;179;12/06/2024;03/06/2024;1
17 Avenue Victoria;;PARIS 1ER ARRONDISSEMENT;270;13/03/2023;03/03/2023;1
Route de L'Iseran;;VAL-D'ISÈRE;130;21/07/2022;11/07/2022;4
Route du Parc des Sports;;VAL-D'ISÈRE;98;10/12/2021;02/12/2021;4
15 passage de l'industrie;;PARIS 10E ARRONDISSEMENT;141;25/12/2020;16/12/2020;5
17 Avenue Célestin Arnaud;;FRONTIGNAN;112;23/03/2024;13/03/2024;1
1 bis rue Camille Pelletan;;SAINTES-MARIES-DE-LA-MER;256;07/01/2023;02/01/2023;4
9 place Boulnois;;PARIS;284;05/11/2023;30/10/2023;3
165 rue Alexandre Poidebard;;RÉGNIÉ-DURETTE;116;06/12/2021;01/12/2021;3
9 allée de Chaillot;;NOIRMOUTIER-EN-L'ÎLE;217;12/06/2021;02/06/2021;4
25 rue de la Pêche;;AULT;263;30/12/2021;24/12/2021;4
1399 AVENUE DE LA BATTERIE OUEST;;VILLENEUVE-LOUBET;93;17/11/2023;09/11/2023;2
5 rue des Arquebusiers;;PARIS;63;06/11/2023;30/10/2023;1
11 rue Gabriel Delucq;;SAINT-JEAN-DE-LUZ;87;09/01/2024;04/01/2024;2
Boulevard des Crêtes;;GASSIN;74;30/10/2021;21/10/2021;2
12 Cours Charlemagne;;LYON 2E ARRONDISSEMENT;67;30/04/2023;24/04/2023;4
29 boulevard du général Leclerc;;BEAUSOLEIL;275;25/01/2023;16/01/2023;5
2 bis cité Pigalle;;PARIS 9E ARRONDISSEMENT;142;26/05/2022;18/05/2022;2
13 avenue Robert Coll;;ARGELÈS-GAZOST;233;21/07/2023;12/07/2023;4
29 Avenue Thiers;;NICE;93;24/01/2022;14/01/2022;1
20 avenue Henri Laudier;;BOURGES;228;27/11/2020;18/11/2020;4
1 avenue de Cahuzac;;GIMONT;252;23/04/2021;14/04/2021;5
11 avenue Pierre Fabre;;BANYULS-SUR-MER;136;07/07/2024;01/07/2024;2
415 avenue du Général de Gaulle;;GUÉTHARY;297;07/05/2022;02/05/2022;4
5 rue du général lapasset;;SAINT-MARTIN-DE-RÉ;177;06/06/2024;27/05/2024;1
37 boulevard d'Alsace;;CANNES;218;26/06/2022;21/06/2022;2
133 avenue de la Grande Côte;;SAINT-PALAIS-SUR-MER;206;07/06/2021;01/06/2021;4
156 ROUTE DE MESSERY;;YVOIRE;298;05/08/2023;31/07/2023;2
12 rue Jacques Kablé;;STRASBOURG;85;22/09/2024;17/09/2024;5
17 rue Gît le Coeur;;PARIS 6E ARRONDISSEMENT;76;26/07/2023;17/07/2023;1
Route de l'Étang Blanc;;SEIGNOSSE;149;19/05/2022;09/05/2022;4
12 rue Carnot;;WIMEREUX;285;03/04/2024;26/03/2024;3
Route Nationale 98;;GRIMAUD;288;19/10/2023;09/10/2023;1
2 avenue Victor Hugo;;LISIEUX;150;16/11/2020;06/11/2020;4
19 rue Monsieur Le Prince;;PARIS;162;27/12/2023;18/12/2023;5
12 avenue Louis Garros;;ARCACHON;155;26/12/2021;20/12/2021;4
16 ter et 18 rue de Lourdes;;NEVERS;273;21/08/2022;11/08/2022;2
62 rue du Taur;;TOULOUSE;184;14/11/2022;09/11/2022;3
99 bis promenade des Anglais;;NICE;159;23/03/2022;14/03/2022;2
101 avenue des etats unis;;THIERS;206;10/07/2020;30/06/2020;3
19 rue Colbert;;BEAUNE;127;05/03/2022;25/02/2022;4
25 montée Saint Barthélémy;;LYON 5E ARRONDISSEMENT;137;09/10/2020;29/09/2020;2
26 impasse de Nice;;BANDOL;138;02/04/2022;23/03/2022;4
7 avenue Flornoy;;PORNICHET;266;04/11/2021;27/10/2021;2
24 ROUTE DE NICE;;DIGNE-LES-BAINS;224;19/07/2024;12/07/2024;3
18 avenue de la Violette;;AIX-EN-PROVENCE;260;11/11/2021;02/11/2021;3
85 rue de la Pompe;;PARIS;81;16/06/2024;10/06/2024;4
Lieu-dit Mirato Polu;;L'ÎLE-ROUSSE;281;23/12/2019;16/12/2019;4
7 rue Frédéric Bastiat;;BAYONNE;151;29/09/2020;21/09/2020;1
7 rue de Gascogne;;BIARRITZ;138;30/04/2023;25/04/2023;5
2 rue Camboénéa;;BIDART;172;22/10/2021;15/10/2021;4
9-11 RUE WESTERCAMP;;STRASBOURG;270;24/09/2020;15/09/2020;5
12 chemin de la Jacquette;;BAYONNE;169;11/09/2021;06/09/2021;1
28 avenue de Lamartine;;ARCACHON;65;13/06/2022;03/06/2022;4
6 place de Québec;;BAYEUX;156;15/12/2024;09/12/2024;1
31 rue des bains;;HOULGATE;123;21/12/2020;11/12/2020;3
6 avenue Château de la Tour;;NICE;227;28/03/2022;18/03/2022;1
53 boulevard Georges Clémenceau;;PERROS-GUIREC;185;22/12/2021;17/12/2021;2
94 Chemin de Guerrevieille;;GRIMAUD;193;23/05/2023;15/05/2023;1
9 rue Franche;;ALOXE-CORTON;269;20/03/2023;15/03/2023;4
52 bis Rue Jenner;;PARIS 13E ARRONDISSEMENT;63;12/07/2023;04/07/2023;1
24-30 boulevard Pasteur;;PARIS 15E ARRONDISSEMENT;119;27/10/2021;21/10/2021;4
35 rue Mademoiselle;;PARIS;148;22/06/2024;12/06/2024;3
8 rue Professeur Pierre Marion;;LYON 5E ARRONDISSEMENT;204;21/09/2022;16/09/2022;1
23 rue Henry Monnier;;PARIS 9E ARRONDISSEMENT;95;19/01/2022;14/01/2022;4
1100 chemin Val de Rian;;RAMATUELLE;176;24/06/2022;17/06/2022;1
Lieu dit Colombier;;SAINT-BARTHÉLEMY;120;11/08/2022;03/08/2022;3
1 place Pierre Semard;;LE TRÉPORT;108;23/10/2024;14/10/2024;1
121 route de sandillon;;SAINT-JEAN-LE-BLANC;205;04/02/2023;30/01/2023;4
2 boulevard Ferdinand de Candau;;MONT-DE-MARSAN;289;04/11/2022;28/10/2022;4
13 rue Delambre;;PARIS 14E ARRONDISSEMENT;203;16/11/2021;10/11/2021;4
Rue Monstequieu;;LAUDUN-L'ARDOISE;162;21/03/2022;14/03/2022;3
2 rue Boulard;;PARIS;243;19/04/2024;11/04/2024;1
