Colonne1;Nom;nbr_place;Prix;Description;Durée;Période
MONCLAR;Lac de Magre, la balade du pech de Bellevue;5;14;Ce circuit démarre au pied de Monclar, dans la vallée du Tolzac. Il suit le bord de la colline qui marque la limite de la vallée du Lot, plantée de nombreux vergers ou domine le maître des lieux, le prunier d’Ente.;00:02:26;APRES-MIDI
MONCLAR;Lac de Magre, la balade du pech de Bellevue;4;11;Ce circuit démarre au pied de Monclar, dans la vallée du Tolzac. Il suit le bord de la colline qui marque la limite de la vallée du Lot, plantée de nombreux vergers ou domine le maître des lieux, le prunier d’Ente.;00:27:05;SOIR
SAINT-ROMAIN-LE-NOBLE;Saint-Romain-le-Noble, une succession de panoramas;5;10;360° de panoramas, du plus proche au plus lointain, la vallée de la Garonne, les villages alentour de Clermont-Soubiran ou de Saint-Pierre-de-Clairac, la bastide de Puymirol ou par temps clair les crêtes des Pyrénées...;02:22:40;MATIN
SAINT-ROMAIN-LE-NOBLE;Saint-Romain-le-Noble, une succession de panoramas;5;11;360° de panoramas, du plus proche au plus lointain, la vallée de la Garonne, les villages alentour de Clermont-Soubiran ou de Saint-Pierre-de-Clairac, la bastide de Puymirol ou par temps clair les crêtes des Pyrénées...;04:32:05;APRES-MIDI
CAUDECOSTE;Caudecoste, une bastide du XIIIème siècle;2;12;Ce petit circuit, au départ d'une bastide typique de ces villages bâtis aux 13eme et 14eme siècles, n'offre aucune difficulté, mais demande une grande vigilance lors des deux passages sur des voies départementales. Vignobles du Brulhois et vergers de pruniers d'Ente se partagent l'espace cultivé.;04:48:11;SOIR
CAUDECOSTE;Caudecoste, une bastide du XIIIème siècle;6;19;Ce petit circuit, au départ d'une bastide typique de ces villages bâtis aux 13eme et 14eme siècles, n'offre aucune difficulté, mais demande une grande vigilance lors des deux passages sur des voies départementales. Vignobles du Brulhois et vergers de pruniers d'Ente se partagent l'espace cultivé.;02:00:24;MATIN
LAGARRIGUE;Lagarrigue, points de vue sur la vallée du Lot;5;11;"Le bitume recouvre les chemins au début et à la fin de ce circuit assez accidenté. Au sud, les
panoramas sont assez exceptionnels sur la vallée du Lot et les coteaux qui l’enserrent.";03:11:29;APRES-MIDI
LAGARRIGUE;Lagarrigue, points de vue sur la vallée du Lot;5;18;"Le bitume recouvre les chemins au début et à la fin de ce circuit assez accidenté. Au sud, les
panoramas sont assez exceptionnels sur la vallée du Lot et les coteaux qui l’enserrent.";03:51:40;APRES-MIDI
CANDÉ;PARCOURS DÉCOUVERTE HISTORIQUE DE CANDÉ;4;17;Bienvenue à Candé en Anjou bleu ! Découvrez Candé, son patrimoine historiques et architectural et son environnement naturel avec ce parcours de découverte.;03:35:08;MATIN
JANS;SENTIER DE L'ÉTANG DE LA PIERRE;5;15;Découvrez ce parcours de marche de 5,2 km à proximité de Jans.;01:14:53;SOIR
JANS;SENTIER DE FRITILLAIRE;2;10;"Au coeur de ce petit village, vous serez enchanté de découvrir de typiques villages au couleur de la pierre bleue : ""le schiste"".";02:39:18;APRES-MIDI
MONTIGNÉ-LÈS-RAIRIES;"Sentier de randonnée pédestre ""Itinéraire d'un briquetier""";4;18;Au fil de ce parcours de randonnée pédestre au départ de Montigné-les-Rairies en Anjou, vous découvrirez les carrières d’argile exploitées par les perreyeux des Rairies, permettant encore aujourd’hui la production de tuiles, carreaux et poteries.;00:11:55;MATIN
LES GARENNES SUR LOIRE;JUIGNE-SUR-LOIRE - 80 - LOIRE ET VIEUX HAMEAUX;3;19;Le vignoble angevin, terre de randonnée;03:07:33;MATIN
LES GARENNES SUR LOIRE;BALUDIK - EN'QUÊTE DE PLANTES AU PARC DES GARENNES;3;15;En'Quête de plantes au Parc des Garennes : Sur l'ardoise, des plantes et des humains. Des plantes de pelouses sèches comme l'écume sur les vagues bleutées de l'ardoise. Et au creux des anciennes carrières, tout en contraste, des mares peuplées de nénuphars et même de plantes de tourbières !;00:08:18;MATIN
MONTREUIL-LE-CHÉTIF;"Circuit PR ""Roche Brune""";1;12;Circuit de 13,5km balisé en jaune. Départ place de l'église à Montreuil-le-Chétif.;00:21:50;APRES-MIDI
MAUCOR;Maucor : du Pont Long aux coteaux à VTT;1;12;Du (vrai) VTT comme on l’aime : un terrain varié, de belles montées bien raides et des descentes roulantes. Un cocktail sportif plein de défis et de belles vues. Ce circuit est cassant et demande une bonne condition physique.;02:24:26;MATIN
MAUCOR;Maucor : du Pont Long aux coteaux à VTT;4;20;Du (vrai) VTT comme on l’aime : un terrain varié, de belles montées bien raides et des descentes roulantes. Un cocktail sportif plein de défis et de belles vues. Ce circuit est cassant et demande une bonne condition physique.;03:11:18;MATIN
MAUCOR;Maucor : du Pont Long aux coteaux à VTT;3;11;Du (vrai) VTT comme on l’aime : un terrain varié, de belles montées bien raides et des descentes roulantes. Un cocktail sportif plein de défis et de belles vues. Ce circuit est cassant et demande une bonne condition physique.;01:32:10;SOIR
MAUCOR;Maucor : du Pont Long aux coteaux à VTT;5;17;Du (vrai) VTT comme on l’aime : un terrain varié, de belles montées bien raides et des descentes roulantes. Un cocktail sportif plein de défis et de belles vues. Ce circuit est cassant et demande une bonne condition physique.;00:04:06;APRES-MIDI
MAUCOR;Maucor : Berges du Laaps;3;13;"Très belle immersion dans la nature à deux pas de Morlaàs. Quelques bonnes grimpettes pour le palpitant, de
terre pour salir les chaussures et de hauteur pour admirer le paysage. Oui, il y a tout dans cette balade praticable toute l’année.";04:23:57;MATIN
MAUCOR;Maucor : Berges du Laaps;1;14;"Très belle immersion dans la nature à deux pas de Morlaàs. Quelques bonnes grimpettes pour le palpitant, de
terre pour salir les chaussures et de hauteur pour admirer le paysage. Oui, il y a tout dans cette balade praticable toute l’année.";00:18:10;SOIR
MAUCOR;Maucor : Berges du Laaps;3;19;"Très belle immersion dans la nature à deux pas de Morlaàs. Quelques bonnes grimpettes pour le palpitant, de
terre pour salir les chaussures et de hauteur pour admirer le paysage. Oui, il y a tout dans cette balade praticable toute l’année.";03:10:25;MATIN
MAUCOR;Maucor : Berges du Laaps;1;18;"Très belle immersion dans la nature à deux pas de Morlaàs. Quelques bonnes grimpettes pour le palpitant, de
terre pour salir les chaussures et de hauteur pour admirer le paysage. Oui, il y a tout dans cette balade praticable toute l’année.";02:04:43;SOIR
QUINSSAINES;Circuit Le bocage de Quinssaines;6;10;Découvrez le bocage bourbonnais à travers ce circuit mêlant verdure et patrimoine bâti.;02:38:54;SOIR
QUINSSAINES;Circuit Le bocage de Quinssaines Bis;2;16;Cheminez en harmonie avec la nature, entre bouchures et sentiers bucoliques.;03:50:50;APRES-MIDI
MARGON;"RANDONNÉE MARGON ""LES BANASTES""";2;14;Au cœur du vignoble des Côtes de Thongue, entre mer et montagne, vous ne pouvez rester indifférent au charme pittoresque de Margon. De l’exploration de cette terre médiévale par les chemins de traverse, découvrez les paysages vallonnés et jouissez du spectacle des tours du château féodal… Pénétrez l’histoire viticole de ce terroir.;02:04:04;SOIR
MARGON;"RANDONNÉE MARGON ""LES BANASTES""  VARIANTE COURTE";1;15;"Au cœur du vignoble des Côtes de Thongue, entre mer et montagne,
vous ne pouvez rester indifférent au charme pittoresque de Margon.
De l’exploration de cette terre médiévale par les chemins de traverse,
découvrez les paysages vallonnés et jouissez du spectacle des tours
du château féodal… Pénétrez l’histoire viticole de ce terroir.";03:43:29;SOIR
AMBIALET;Circuit Moto des belvédères entre Vallée du Tarn et Ségala;2;13;CIRCUIT DES BELVÉDÈRES entre Vallée du Tarn et Ségala;00:31:28;APRES-MIDI
CORMOT-VAUCHIGNON;Tour du Bout du Monde;5;10;A découvrir : le Cirque du Bout du Monde : l'une des plus belles reculées de Bourgogne, semblable à celles du Jura, la cascade de la Tournée, le ruisseau de la Cosanne. Magnifique vue en arrière plan : Nolay, les Monts de Rême et de Rome-Château. Cette randonnée vous emmènera au-dessus de la falaise de Cormot très connue pour l'escalade, où l'alpiniste dijonnais Jean-Marc Boivin vint souvent dans les années 70.;04:23:02;SOIR
CORMOT-VAUCHIGNON;Circuit de Saint-Antoine par la voie romaine;2;13;;00:49:59;APRES-MIDI
HEUILLEY-SUR-SAÔNE;Tous ensembles sur la Saône;5;18;Idéale pour toute la famille, ce parcours vous permettra de naviguer jusqu’au port de plaisance de Pontailler-sur-Saône et de jouer quelques instants les vedettes du jour. Allez, c’est parti. Tous à vos pagaies.;01:39:33;SOIR
HEUILLEY-SUR-SAÔNE;Tours et détours sur la Saône;1;11;Envie de faire un break alors pagayez à votre rythme sur ce parcours en vous laissant conter les petites et grandes histoires de la Saône. Une journée placée sous le signe de la détente et de la bonne humeur.;01:48:02;APRES-MIDI
HEUILLEY-SUR-SAÔNE;Au fil de la Saône;4;20;Un brin sportif dans l’âme, ce parcours est fait pour vous. Ici, on pagaie, on marche, on porte, mais on reste aussi branché à son smartphone. Ready, set, go !;04:33:02;APRES-MIDI
ORNANS;Le Château de Gustave;2;14;Sur les traces de l'artiste;02:27:05;APRES-MIDI
ORNANS;Le Château de Gustave;3;17;Sur les traces de l'artiste;02:38:19;SOIR
ORNANS;Ornans;4;15;;00:32:17;APRES-MIDI
ORNANS;Ornans;3;17;;01:39:49;MATIN
CHAULGNES;Le sentier des Orchidées;5;13;"Un peu vallonné, mais sans difficulté, ce charmant circuit, à travers la commune de Chaulgnes, permet de découvrir en saison l'orchidée sauvage ; un joli cadeau de Dame Nature!";01:37:09;MATIN
CHAULGNES;Le sentier des Orchidées;2;11;"Un peu vallonné, mais sans difficulté, ce charmant circuit, à travers la commune de Chaulgnes, permet de découvrir en saison l'orchidée sauvage ; un joli cadeau de Dame Nature!";04:24:48;MATIN
PRÉMERY;Autour des Mardelles;4;20;La magie des rayons du soleil perçant le sous-bois, le bruit délicieux du craquement des branches tombées au sol, l'odeur délicate de l'humidité des feuilles et de l'air pur... Respirez !;01:26:20;MATIN
PRÉMERY;Autour des Mardelles;2;16;La magie des rayons du soleil perçant le sous-bois, le bruit délicieux du craquement des branches tombées au sol, l'odeur délicate de l'humidité des feuilles et de l'air pur... Respirez !;04:34:42;APRES-MIDI
PRÉMERY;Géocaching;6;19;;04:54:14;MATIN
PRÉMERY;Géocaching;5;14;;00:37:29;SOIR
SAINT-RÉVÉRIEN;Circuit de randonnée : Circuit du site de Compierre;6;13;En suivant l'ancienne voie éduenne, partez à la découverte des vestiges de la bourgade gallo-romaine de Compierre, puis poursuivez votre promenade à travers les hameaux de Champallement, Neuilly et Flassy.;03:18:28;SOIR
SAINT-RÉVÉRIEN;Circuit de randonnée : Circuit du site de Compierre;2;19;En suivant l'ancienne voie éduenne, partez à la découverte des vestiges de la bourgade gallo-romaine de Compierre, puis poursuivez votre promenade à travers les hameaux de Champallement, Neuilly et Flassy.;01:05:48;MATIN
BERTHOLÈNE;Ancienne voie ferrée Bertholène - Bozouls - Espalion;3;13;Randonnez sur l'ancienne voie ferrée! D'une longueur de 22km, permettant la pratique de la course à pied, l'équitation, la marche, le vélo tout chemin VTC, et le VTT.;03:37:56;MATIN
LAPANOUSE-DE-CERNON;Randonnée Le Trail;5;19;Au coeur d'un site naturel préservé : la devèze de Lapanouse …;03:26:50;SOIR
LAPANOUSE-DE-CERNON;Circuit des Maquisards;2;13;Ce parcours trail très accessible offre une belle escapade sur les flancs du Larzac entaillés par l'ancienne voie ferrée qui aujourd'hui a été transformée en vélo rail.;02:00:01;MATIN
VIALA-DU-TARN;Lac de Pinet;3;15;Des allures de fjord norvégien où vivre de beaux moments de pêche !;03:07:27;MATIN
MONTÉZIC;Lac de Montézic;2;11;Lac à fort marnage, pêche du bord uniquement;02:19:17;MATIN
MONTPEYROUX;Lac des Galens;2;11;Appelé aussi Touluch, un lac pour les petites embarcations : lac de barrage situé sur le plateau de l'Aubrac alimenté par le Selvet.;03:40:26;APRES-MIDI
URVAL;Urval - Boucle de Urval Sud;4;11;Bienvenue sur la boucle d’Urval Sud, ce charmant petit village dont l’histoire est liée à son église. Vous découvrirez durant la balade plusieurs hameaux qui ont su  garder la belle authenticité périgourdine. A la fin de la boucle, n’hésitez pas à aller découvrir l’église et le four banal.;04:17:45;SOIR
URVAL;Urval - Boucle de Urval Nord;6;13;Bienvenue sur la boucle d’Urval Nord, ce charmant petit village dont l’histoire est liée à son église. Vous découvrirez durant la balade plusieurs hameaux qui ont su  garder la belle authenticité périgourdine. A la fin de la boucle, n’hésitez pas à aller découvrir l’église et le four banal.;04:25:56;APRES-MIDI
SAINT-ANTOINE-DE-BREUILH;Boucle de Saint-Aulaye - Saint Antoine de Breuilh;5;12;Venez découvrir la boucle de randonnée de St Aulaye sur la commune de Saint Antoine de Breuilh. Au programme de la randonnée : petit patrimoine, nature, rivière Dordogne avec son quai et son chemin de halage et l'église de Saint Aulaye;04:49:43;APRES-MIDI
SAINT-ANTOINE-DE-BREUILH;Boucle de Saint-Aulaye - Saint Antoine de Breuilh;6;13;Venez découvrir la boucle de randonnée de St Aulaye sur la commune de Saint Antoine de Breuilh. Au programme de la randonnée : petit patrimoine, nature, rivière Dordogne avec son quai et son chemin de halage et l'église de Saint Aulaye;02:53:06;APRES-MIDI
SAINT-ANTOINE-DE-BREUILH;Boucle de Breuilh - Saint Antoine de Breuilh;5;10;Venez découvrir la boucle de randonnée de Breuilh sur la commune de Saint Antoine de Breuilh.  Depuis le bourg du village, vous allez rejoindre le hameau de Breuilh et sa charmante église, bâtie par les Bénédictins de Montcaret (1110-1115) sur l’emplacement d’une petite chapelle vouée à la Vierge.;04:03:35;MATIN
SAINT-ANTOINE-DE-BREUILH;Boucle de Breuilh - Saint Antoine de Breuilh;1;13;Venez découvrir la boucle de randonnée de Breuilh sur la commune de Saint Antoine de Breuilh.  Depuis le bourg du village, vous allez rejoindre le hameau de Breuilh et sa charmante église, bâtie par les Bénédictins de Montcaret (1110-1115) sur l’emplacement d’une petite chapelle vouée à la Vierge.;03:29:01;MATIN
SAINT-ANTOINE-DE-BREUILH;Boucle des Laurents - Saint Antoine de Breuilh;5;11;Venez découvrir la boucle de randonnée des Laurents, sur la commune de Saint Antoine de Breuilh. Tout le long de la ballade, découvrez des jolis paysages, église, lavoir. Bonne randonnée;01:57:36;MATIN
SAINT-ANTOINE-DE-BREUILH;Boucle des Laurents - Saint Antoine de Breuilh;1;15;Venez découvrir la boucle de randonnée des Laurents, sur la commune de Saint Antoine de Breuilh. Tout le long de la ballade, découvrez des jolis paysages, église, lavoir. Bonne randonnée;00:01:12;MATIN
SOS;De Gueyze à Meylan, au fil de la Gueyze;2;15;Le sable des Landes et l’argile des vallées, la forêt cultivée de pins et celle plus ancienne et plus sauvage, de chênes, de noisetiers et d’acacias, voici une balade contrastée au coeur de la nature.;01:58:53;APRES-MIDI
SOS;De Gueyze à Meylan, au fil de la Gueyze;4;10;Le sable des Landes et l’argile des vallées, la forêt cultivée de pins et celle plus ancienne et plus sauvage, de chênes, de noisetiers et d’acacias, voici une balade contrastée au coeur de la nature.;03:41:02;SOIR
SOS;De Sos à Poudenas sur le chemin de Gélise;1;19;Cette verte vallée étroite et encaissée recèle des trésors de surprises : des cités à la personnalité affirmée, une végétation riche et luxuriante. Pour les découvrir, suivez l’ancienne voie ferrée de Sos à Mézin.;02:39:45;MATIN
SOS;De Sos à Poudenas sur le chemin de Gélise;2;20;Cette verte vallée étroite et encaissée recèle des trésors de surprises : des cités à la personnalité affirmée, une végétation riche et luxuriante. Pour les découvrir, suivez l’ancienne voie ferrée de Sos à Mézin.;04:57:46;APRES-MIDI
SOS;Sos, la promenade de Campet;6;12;Sos évoque une calme bourgade de campagne prospère. Petites rues aux façades marquées par le temps, musée lapidaire et larges places accueillantes plantées de grands arbres méritent une visite.;04:12:38;SOIR
SOS;Sos, la promenade de Campet;1;12;Sos évoque une calme bourgade de campagne prospère. Petites rues aux façades marquées par le temps, musée lapidaire et larges places accueillantes plantées de grands arbres méritent une visite.;01:25:28;SOIR
SOS;Sos, balade en terre Sostiates;3;14;Cette petite balade sans grande difficulté vous offrira dans un premier temps, une très belle vue sur la vallée de la Gélise et par la suite, un cheminement sur les sentiers de la forêt Landaise.;02:18:26;SOIR
SOS;Sos, balade en terre Sostiates;5;12;Cette petite balade sans grande difficulté vous offrira dans un premier temps, une très belle vue sur la vallée de la Gélise et par la suite, un cheminement sur les sentiers de la forêt Landaise.;01:36:11;SOIR
SOS;Meylan, balade entre pins et chênes;2;11;;04:18:52;APRES-MIDI
SOS;Meylan, balade entre pins et chênes;1;18;;03:19:02;SOIR
POUDENAS;Poudenas, une ambiance de Toscane;3;12;Pour saisir l’esprit de ce petit pays qui rappelle l’Italie, cet itinéraire propose sur Poudenas des vues en contre-plongée depuis la Gélise, des images panoramiques au passage sur les coteaux.;01:09:43;APRES-MIDI
POUDENAS;Poudenas, une ambiance de Toscane;2;20;Pour saisir l’esprit de ce petit pays qui rappelle l’Italie, cet itinéraire propose sur Poudenas des vues en contre-plongée depuis la Gélise, des images panoramiques au passage sur les coteaux.;02:44:23;APRES-MIDI
LA FORCE;La Force - Visite guidée de la ville;2;14;Partez à la découverte de notre commune à la richesse historique exceptionnelle et révélée grâce au travail minutieux de l’ARAH qui vous entraînera du Pavillon des Recettes aux Asiles du pasteur John Bost.;00:32:02;APRES-MIDI
LALINDE;Boucle du canal de Lalinde - Lalinde;6;11;Bienvenue sur la Boucle du canal de Lalinde. Cette boucle de 7.8km, qui démarre dans la bastide de Lalinde, première bastide anglaise, vous permettra de découvrir des paysages variés, et de longer le canal de Lalinde. Bonne randonnée;02:01:46;SOIR
LALINDE;Visite guidée de la bastide de Lalinde;5;10;Partez à la découverte de la bastide de Lalinde pour y découvrir des vieilles demeures, la maison du gouverneur, la maison des consuls, les vestiges du mur du midi, la maison Renaissance qui abrite l'Office de Tourisme et le canal de Lalinde.;04:39:29;SOIR
LALINDE;Boucle des Foulissards - Lalinde;6;15;Bienvenue sur la Boucle des Foulissard de Lalinde. Cette boucle qui démarre dans la bastide de Lalinde, première bastide anglaise, vous permettra de découvrir des paysages variées et le hameau de Sainte Colombe et son église. Bonne randonnée;02:35:07;MATIN
LALINDE;Boucle de Saint Sulpice - Lalinde;5;14;Bienvenue sur la Boucle de Saint Front à Lalinde. Cette boucle qui démarre dans la bastide de Lalinde, première bastide anglaise, vous permettra de découvrir le canal de Lalinde, ainsi que les paysages de campagne au abord de la bastide. Vous y verrez aussi la petite chapelle de Saint Sulpice.;02:21:16;SOIR
PIÉGUT-PLUVIERS;Boucle de Fixard Piégut-Pluviers;3;16;Ce parcours vous fera traverser les siècles, du néolithique au Moyen Age en passant par l'époque gallo-romaine.;01:55:28;MATIN
PIÉGUT-PLUVIERS;Le circuit de Cabaniers (boucle de Puyrocher);6;13;"Balade en Périgord Vert Granitique, constitué de bois et d'étangs. La commune garde de l'époque gallo-romaine quelques vestiges comme voie romaine et forge. 
Un château du XIIe et XIIIe fut détruit en 1199 par les troupes de Richard Coeur de Lion; il reste aujourd'hui le donjon appelé Tour de Piégut";00:33:15;SOIR
PIÉGUT-PLUVIERS;Le circuit de Cabaniers (boucle de Puyrocher);6;16;"Balade en Périgord Vert Granitique, constitué de bois et d'étangs. La commune garde de l'époque gallo-romaine quelques vestiges comme voie romaine et forge. 
Un château du XIIe et XIIIe fut détruit en 1199 par les troupes de Richard Coeur de Lion; il reste aujourd'hui le donjon appelé Tour de Piégut";04:07:55;SOIR
PIÉGUT-PLUVIERS;De Piégut-Pluviers à l'Etang Grolhier;5;11;Piégut est une commune située dans le Parc Naturel Régional Périgord Limousin très renommée sur ce territoire pour son marché du mercredi matin qui attire de nombreux visiteurs.;02:12:03;APRES-MIDI
PIÉGUT-PLUVIERS;De Piégut-Pluviers à l'Etang Grolhier;6;17;Piégut est une commune située dans le Parc Naturel Régional Périgord Limousin très renommée sur ce territoire pour son marché du mercredi matin qui attire de nombreux visiteurs.;00:47:53;APRES-MIDI
MUROLS;VTT Carladez : La forêt de Murols;3;15;Au départ de Murols, l'itinéraire parcourt un territoire forestier au relief accidenté, offrant à la fois de beaux points de vue sur la vallée du Goul et la fraîcheur des ruisseaux. Un itinéraire soutenu pour vététistes en forme.;01:54:02;SOIR
MUROLS;"Sentier de l'imaginaire : circuit ""de Feu et de Vent""";3;20;De feu et de vent - L'âme du sentier : Blaise le dragon, gardien du feu. Ouvert toute l'année, libre d'accès, gratuit.;03:10:11;SOIR
ESPALION;Circuit d'Espalion - Bozouls;6;14;"Entre Monts-d’Aubrac et Causse-Comtal, le Lot (anciennement « olt ») a creusé son lit et a pris ses aises en aval et en amont d’Espalion. En plein cœur de la Vallée du Lot, Espalion est situé sur l’un des grands chemins du pèlerinage de Saint-Jacques-de-Compostelle « Le Puy-en-Velay-sur-Conques » (le GR65), dont ce tronçon et le Pont Vieux ont été classés au Patrimoine mondial de l’Unesco. Vous pourrez plonger dans l’histoire insolite et fascinante de l’homme sous la mer, en visitant le premier musée d’Europe consacré au scaphandre créé pour rendre hommage aux inventions de deux Espalionnais. Un petit détour à l’église de Perse s’impose ; ce joyau d’art roman du XIe siècle est construit en grès rose et situé sur le GR 65. En longeant le Lot en amont, vous n’oublierez pas de faire un petit détour au village fortifié de Flaujac. Ensuite, vous arriverez à Saint-Côme d’Olt, bourg moyenâgeux classé « Plus beaux villages de France », qui présente une église du XVIe siècle surmontée d’un clocher flammé. Une petite route ombragée vous mènera à la Coulée de Lave qui s’étend sur la colline. Cet impressionnant champ de basalte appelé aussi « Clapas de Thubiès » va se perdre dans une forêt de hêtres, de chênes et de châtaigniers. En regagnant le hameau de Roquelaure, où la rivière Lot sera le point de mire de ce périple, ne manquez pas la vue panoramique exceptionnelle depuis l’arrière de la chapelle. Rattrapez le Causse-Comtal et faites le détour pour visiter le petit village de Rodelle situé sur son éperon rocheux. Cette halte est une empreinte de l’un des si nombreux petits joyaux dont recèle notre département. En route vers Bozouls et sa particularité géologique unique en Aveyron ; c’est un canyon de 400 m de diamètre et près de 100 m de profondeur. De ce site géologique est né un espace de découverte, « Terra-Mémoria ». Vous rejoignez Bessuéjouls « la clairière aux buis ». Votre itinéraire vous mène à la remarquable petite église de Saint-Pierre de Bessuéjouls. Sa particularité est une chapelle haute d’un étage où l’on accède par un escalier au fond de la nef. Enfin de retour à Espalion, prenez le temps de flâner dans cette séduisante petite ville.";01:24:44;SOIR
ESPALION;29 - La voie du Rail - Randonnées en Terres d'Aveyron;6;11;En suivant l'ancienne voie ferrée réaménagée en chemin de randonnée, imaginons ce qu'a été sa construction un siècle en arrière (1905).;04:38:45;APRES-MIDI
ESPALION;12 - Espalion et son patrimoine - Randonnées en Terres d'Aveyron;3;12;Au coeur de la vallée du Lot, dominée par les monts d'Aubrac au nord et les plateaux du causse au sud, Espalion était une petite cité autrefois fortifiée, blottie au pied du château de Calmont-d'Olt.;01:04:18;SOIR
ESPALION;Vallée de Lot à vélo (V86), ESPALION/SAINT-GENIEZ-D'OLT;3;12;D'Espalion à Saint-Geniez-d'Olt par la Vallée du Lot à vélo (V86);02:08:23;APRES-MIDI
ESPALION;Le Lot à Saint-Côme-d'Olt et Espalion (lâchers de truites);3;10;Magnifique parcours de pêche pour les familles, les enfants et les amateurs de truites (déversements);00:54:52;MATIN
BARNAVE;Sur les Chemins de la Clairette - Un balcon sur le Haut-Diois;2;16;Orienté est-ouest, le Serre de Corps qui domine Barnave a le bon goût d’offrir son adret marneux ensoleillé aux vignerons tandis que le charme du village opère à plein avec ses façades empierrées, ses ruelles et ses passages voûtés.;03:42:00;MATIN
DIE;Sur les Chemins de la Clairette - La vigne et l'Histoire;1;10;Au pied de l’imposante Montagne de Glandasse, vous côtoierez quelques vignes qui offrent d’harmonieuses perspectives sur les montagnes puis vos pas vous ramèneront en ville pour admirer les remparts de l’ancienne cité gallo-romaine.;04:24:47;APRES-MIDI
NONSARD-LAMARCHE;TOUR DU LAC DE MADINE;6;14;"Parcourez les alentours pittoresques du lac de Madine en faisant le tour complet du lac et de ses rives. Que vous choisissiez de marcher ou de pédaler, en famille ou entre amis, ce parcours de plus de 18 kms vous promet des souvenirs inoubliables, entre nature préservée, beauté des paysages et sensations sportives.

Alors, enfilez vos chaussures de randonnée ou enfourchez votre vélo et partez à la conquête des merveilles qui vous entourent !";03:34:04;MATIN
MORTEAUX-COULIBŒUF;Les Trois Cours d'Eau;4;13;Morteaux-Couliboeuf s’étire entre trois vallées : l’Ante, le Trainefeuilles y rejoignant la Dives. Sa position entre la plaine de Falaise et le Pays d’Auge explique la variété des paysages traversés. Cette flânerie permet d’admirer de nombreux édifices montrant que la commune est depuis longtemps un lieu de passage chargé d’histoire.;00:48:30;APRES-MIDI
FRIESEN;Randonnée pédestre Friesen Ueberstrass;3;17;Dénommé le circuit des chapelles, cette petite boucle, parsemée d'étangs, est accessibles à tous.;02:52:23;MATIN
FRIESEN;Circuit VTT n°22 Circuit de la vallée de la Largue;6;13;;01:01:45;MATIN
FRIESEN;Circuit VTT n°20 Au fil de la Largue;6;20;;00:31:12;APRES-MIDI
FRIESEN;Circuit VTT n°21 Le circuit du pèlerinage;6;16;;00:30:39;MATIN
FRIESEN;Circuit VTT n°23 La Borne des 3 Puissances;1;19;;00:38:29;SOIR
FRIESEN;Circuit VTT n°19 Le tour des cigognes;1;11;;03:39:32;MATIN
WISSEMBOURG;Des Vosges du Nord à la Route des Vins - Véloroute du vignoble;5;13;L’itinéraire cyclable de la Route des Vins d’Alsace s’étire de Wissembourg – Marlenheim jusqu’à Thann. Dominé par 51 Grands Crus aux noms singuliers, ce parcours traverse les prestigieuses localités de la Route des Vins qui sont autant d’invitations à découvrir merveilles architecturales, vignobles et caves qui font la renommée de l’Alsace.;03:17:30;SOIR
WISSEMBOURG;Circuit autour du champ de bataille du Geisberg;1;20;La colline du Geisberg fût le lieu de batailles successives dont la plus célèbre, la bataille du 4 août 1870, aboutit à la victoire des Prussiens sur les troupes du Général Abel Douay. Cheminez le long du parcours thématique et découvrez 6 stations des monuments en mémoire de la bataille.;00:49:08;MATIN
WISSEMBOURG;Randonnée autour du Col du Pigeonnier;3;17;Randonnée circulaire au départ du Col du Pigeonnier. Promenade excusivement forestière en direction du Chemin des Cimes d'Alsace, à la découverte des vestiges du fossé antichar du Hochwald, sur les hauteurs de Drachenbronn. Une randonnée entre nature et histoire, dans le contexte de la Ligne Maginot.;01:24:00;MATIN
WISSEMBOURG;TMV® Traversée du Massif des Vosges à VTT - Wissembourg - Saverne;6;11;;01:05:01;SOIR
WISSEMBOURG;Chemin de Saint-Jacques de Compostelle;6;15;;02:36:28;MATIN
WISSEMBOURG;De Wissembourg au Gimbelhof;6;19;;00:35:13;SOIR
WOLSCHWILLER;Randonnée pédestre: Wolschwiller -Burg -  le Raemelsberg;2;11;Belle randonnée à travers la réserve biologique forestière de Wolschwiller au cœur du Jura alsacien.;04:12:13;MATIN
MITTELWIHR;Sentier d'interprétation 'Bennwihr et Mittelwihr, 2 villages pour un même destin';6;14;Plongez dans l'histoire en découvrant ces 2 villages atypiques de la Route des Vins d'Alsace intégralement détruits en 1944.;01:23:08;APRES-MIDI
MITTELWIHR;Sentier viticole des Grands Crus - Mittelwihr;3;18;;03:17:00;MATIN
FLOING;Boucle à cheval au départ de Floing;2;17;Floing, Saint-Menges, Bosseval et Briancourt, passage en Belgique à travers bois, retour à Saint-Menges.Le tracé de ce circuit est donné à titre indicatif. Pour effectuer cette randonnée il est préférable de se munir de la carte IGN 1/25 000 (série bleue) 3009 E Sedan. Merci au Comité Départemental de Tourisme Equestre pour ce circuit.;04:56:42;SOIR
